seed,A0_norm_mae,A1b_norm_mae,delta_norm_mae,winner
42,0.3140424788,0.3138061166,-0.0002363622,A1b
43,0.3279690000,0.3271310000,-0.0008380000,A1b
44,0.3573860000,0.3561790000,-0.0012070000,A1b
45,0.3418439925,0.3416832983,-0.0001606941,A1b
46,0.3360031247,0.3358885348,-0.0001145899,A1b
47,0.3129404783,0.3124517798,-0.0004886985,A1b
48,0.3564907014,0.3566542566,0.0001635551,A0
49,0.3182107210,0.3177667260,-0.0004439950,A1b
50,0.3384213150,0.3369106054,-0.0015107095,A1b
51,0.3173629344,0.3169761896,-0.0003867447,A1b
